resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
PU_MEKAKA_KAPUKA,人员：1人-小时/机器-小时,Operator,Operators,机器运行时间,45.83,45.75,228.77,45.75,4,CNY,455.07,9.918,30422,24734,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发
PU_MEKAKA_KANEKA,人员：1人-小时/机器-小时,Operator,Operators,机器运行时间,79.75,8.6,2827.27,61.46,13,CNY,1042.09,15.8152,29418,24257,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发
PU_MEKAKA_KASAKA,人员：1人-小时/机器-小时,Operator,Operators,机器运行时间,59.22,52.58,683.6,52.58,9,CNY,1426.77,25.4946,24718,17482,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发
DXME-MEPU-KARI_KAKAME,平板卡车，载重量不超过5吨,Equipment,General,台时,82.43,82.43,82.43,82.43,1,CNY,180.38,2.1882,17559,17559,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机开挖土方并装载至自卸卡车
DXME-KASA-KASA_KAMESA,汽车起重机，起重能力16吨,Equipment,General,台时,212.3,212.3,212.3,212.3,1,CNY,2287.49,10.7746,17260,17260,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机开挖土方并装载至自卸卡车
KAME-LI-KATO-KAPU_KAKAKAME,电力,Material,General,千瓦时,0.97,0.97,0.97,0.97,1,CNY,2890.37,2968.2559,15624,15624,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
DXME-MELI-KAPU_RITOTO,手工电弧焊机，焊接电流高达350安培,Equipment,General,台时,4.57,4.57,4.57,4.57,1,CNY,242.88,53.1988,9059,9059,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
DXME-MELI-KAPU_RITOTO,电力：消耗量 3.7 千瓦时/机器小时,Electricity,Electricity,机器运行时间,2.48,2.48,2.48,2.48,1,CNY,132.11,53.1988,9059,9059,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
KAME-LI-KATO-KAME_KAKAKAME,水,Material,General,立方米,5.83,5.83,5.83,5.83,1,CNY,602.05,103.2782,7937,7937,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,铁路和公路的挖沟与填筑
ME_MEKAKA_PUKA,平均工作负荷 4.0,Labor,Labor,手表,86.22,86.22,86.22,86.22,1,CNY,22768.97,264.0885,7620,7620,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
KAME-TO-KARI-KAVO_KAKAKAME,技术用气态氧气,Material,General,立方米,21.24,21.24,21.24,21.24,1,CNY,554.03,26.0864,6539,6539,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,降水
KAME-LI-MEME-KALI_KARIRILI,用于焊接低合金钢和碳素钢的焊条 UONI 13/45、E42A，直径 4-5 毫米,Material,General,千克,19.68,19.68,19.68,19.68,1,CNY,1298.18,65.9506,5578,5578,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
KAME-TO-KARI-KADX_KAKARIRI,丙烷-丁烷技术混合物,Material,General,千克,9.34,9.34,9.34,9.34,1,CNY,89.85,9.6035,4774,4774,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,土方工程边坡加固
